Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
V Kohli (IND),2022-2022,6,6,3,296,82*,98.66,217,136.4,-,4,-,25,8
MP O'Dowd (NED),2022-2022,8,8,1,242,71*,34.57,215,112.55,-,2,-,22,8
SA Yadav (IND),2022-2022,6,6,2,239,68,59.75,126,189.68,-,3,-,26,9
JC Buttler (ENG),2022-2022,6,6,1,225,80*,45.00,156,144.23,-,2,1,24,7
BKG Mendis (SL),2022-2022,8,8,1,223,79,31.85,156,142.94,-,2,-,17,10
Sikandar Raza (ZIM),2022-2022,8,8,0,219,82,27.37,148,147.97,-,1,2,16,11
P Nissanka (SL),2022-2022,7,7,0,214,74,30.57,196,109.18,-,2,1,13,8
AD Hales (ENG),2022-2022,6,6,1,212,86*,42.40,144,147.22,-,2,-,19,10
LJ Tucker (IRE),2022-2022,7,7,2,204,71*,40.80,163,125.15,-,1,-,19,4
GD Phillips (NZ),2022-2022,5,5,0,201,104,40.20,127,158.26,1,1,-,19,8
Najmul Hossain Shanto (BAN),2022-2022,5,5,0,180,71,36.00,157,114.64,-,2,-,20,2
KS Williamson (NZ),2022-2022,5,5,0,178,61,35.60,153,116.33,-,1,-,11,5
DM de Silva (SL),2022-2022,8,8,1,177,66*,25.28,137,129.19,-,1,2,15,4
Shan Masood (PAK),2022-2022,7,7,3,175,52*,43.75,148,118.24,-,1,-,12,1
Mohammad Rizwan (PAK),2022-2022,7,7,0,175,57,25.00,160,109.37,-,1,-,15,3
PR Stirling (IRE),2022-2022,7,7,1,170,66*,28.33,127,133.85,-,1,1,16,6
CN Ackermann (NED),2022-2022,8,8,1,165,62,23.57,149,110.73,-,1,2,13,4
SC Williams (ZIM),2022-2022,8,8,0,155,64,19.37,137,113.13,-,1,-,14,2
A Balbirnie (IRE),2022-2022,7,7,0,153,62,21.85,123,124.39,-,1,-,10,9
DP Conway (NZ),2022-2022,5,5,1,145,92*,36.25,124,116.93,-,1,-,12,2
RR Rossouw (SA),2022-2022,5,4,0,141,109,35.25,83,169.87,1,-,1,9,9
KIC Asalanka (SL),2022-2022,7,7,2,131,38*,26.20,113,115.92,-,-,1,9,2
HH Pandya (IND),2022-2022,6,5,0,128,63,25.60,97,131.95,-,1,-,7,7
KL Rahul (IND),2022-2022,6,6,0,128,51,21.33,106,120.75,-,2,-,8,8
Litton Das (BAN),2022-2022,5,5,0,127,60,25.40,89,142.69,-,1,-,11,5
MP Stoinis (AUS),2022-2022,4,4,1,126,59*,42.00,78,161.53,-,1,-,7,9
C Campher (IRE),2022-2022,7,6,1,126,72*,25.20,77,163.63,-,1,1,12,2
PBB Rajapaksa (SL),2022-2022,8,7,0,125,34,17.85,105,119.04,-,-,-,14,2
Q de Kock (SA),2022-2022,5,5,1,124,63,31.00,77,161.03,-,1,1,16,5
Babar Azam (PAK),2022-2022,7,7,0,124,53,17.71,133,93.23,-,1,1,13,0
HG Munsey (SCOT),2022-2022,3,3,1,121,66*,60.50,106,114.15,-,2,-,16,0
GJ Maxwell (AUS),2022-2022,4,4,1,118,54*,39.33,73,161.64,-,1,-,11,6
RG Sharma (IND),2022-2022,6,6,0,116,53,19.33,109,106.42,-,1,-,11,4
Iftikhar Ahmed (PAK),2022-2022,7,7,2,114,51,22.80,93,122.58,-,2,1,6,6
CR Ervine (ZIM),2022-2022,7,7,0,112,58,16.00,125,89.6,-,1,-,13,0
MA Jones (SCOT),2022-2022,3,3,0,110,86,36.66,77,142.85,-,1,-,10,4
BA Stokes (ENG),2022-2022,6,5,2,110,52*,36.66,104,105.76,-,1,-,7,1
DJ Mitchell (NZ),2022-2022,4,4,2,109,53*,54.50,85,128.23,-,1,-,5,1
AJ Finch (AUS),2022-2022,3,3,1,107,63,53.50,97,110.3,-,1,-,6,5
TLW Cooper (NED),2022-2022,8,8,0,107,35,13.37,103,103.88,-,-,1,7,3
MR Marsh (AUS),2022-2022,4,4,0,106,45,26.50,81,130.86,-,-,-,8,6
W Madhevere (ZIM),2022-2022,8,8,1,106,35*,15.14,83,127.71,-,-,2,15,2
JN Frylinck (NAM),2022-2022,3,3,0,101,44,33.66,93,108.6,-,-,-,6,1
RP Burl (ZIM),2022-2022,8,7,3,101,35,25.25,97,104.12,-,-,-,11,2
GH Dockrell (IRE),2022-2022,7,6,1,100,39*,20.00,83,120.48,-,-,2,10,1
AK Markram (SA),2022-2022,5,4,0,99,52,24.75,79,125.31,-,1,-,13,1
Shadab Khan (PAK),2022-2022,7,6,2,98,52,24.50,58,168.96,-,1,-,7,5
Mohammad Haris (PAK),2022-2022,4,4,0,97,31,24.25,67,144.77,-,-,-,6,6
Afif Hossain (BAN),2022-2022,5,5,1,95,38,23.75,76,125.0,-,-,-,6,3
FH Allen (NZ),2022-2022,5,5,0,95,42,19.00,51,186.27,-,-,-,11,5
Muhammad Waseem (UAE),2022-2022,3,3,0,93,50,31.00,92,101.08,-,1,-,2,5
BFW de Leede (NED),2022-2022,8,8,3,93,30*,18.60,117,79.48,-,-,1,7,1
SA Edwards (NED),2022-2022,8,8,2,91,21,15.16,104,87.5,-,-,-,8,0
Ibrahim Zadran (AFG),2022-2022,3,3,0,80,32,26.66,83,96.38,-,-,-,6,2
BA King (WI),2022-2022,2,2,1,79,62*,79.00,63,125.39,-,1,-,9,1
