Player,Overs,Mdns,Runs,Wkts,Econ,Team,Opposition,Ground,Match Date,Scorecard
SM Curran,3.4,-,10,5,2.72,England,v Afghanistan,Perth,22 Oct 2022,T20I # 1840
A Nortje,3.3,-,10,4,2.85,South Africa,v Bangladesh,Sydney,27 Oct 2022,T20I # 1847
TA Boult,4.0,-,13,4,3.25,New Zealand,v Sri Lanka,Sydney,29 Oct 2022,T20I # 1850
AS Joseph,4.0,-,16,4,4.0,West Indies,v Zimbabwe,Hobart,19 Oct 2022,T20I # 1834
Shaheen Shah Afridi,4.0,-,22,4,5.5,Pakistan,v Bangladesh,Adelaide,06 Nov 2022,T20I # 1872
Mohammad Wasim,4.0,-,24,4,6.0,Pakistan,v Zimbabwe,Perth,27 Oct 2022,T20I # 1849
Taskin Ahmed,4.0,-,25,4,6.25,Bangladesh,v Netherlands,Hobart,24 Oct 2022,T20I # 1843
L Ngidi,4.0,-,29,4,7.25,South Africa,v India,Perth,30 Oct 2022,T20I # 1853
A Nortje,4.0,-,41,4,10.25,South Africa,v Pakistan,Sydney,03 Nov 2022,T20I # 1861
TG Southee,2.1,-,6,3,2.76,New Zealand,v Australia,Sydney,22 Oct 2022,T20I # 1839
PWH de Silva,4.0,1,8,3,2.0,Sri Lanka,v U.A.E.,Geelong,18 Oct 2022,T20I # 1832
BD Glover,2.0,-,9,3,4.5,Netherlands,v South Africa,Adelaide,06 Nov 2022,T20I # 1871
MRJ Watt,4.0,-,12,3,3.0,Scotland,v West Indies,Hobart,17 Oct 2022,T20I # 1826
JO Holder,3.2,-,12,3,3.6,West Indies,v Zimbabwe,Hobart,19 Oct 2022,T20I # 1834
SM Curran,4.0,-,12,3,3.0,England,v Pakistan,Melbourne,13 Nov 2022,T20I # 1879
PWH de Silva,4.0,-,13,3,3.25,Sri Lanka,v Afghanistan,Brisbane,01 Nov 2022,T20I # 1856
Shaheen Shah Afridi,3.0,-,14,3,4.66,Pakistan,v South Africa,Sydney,03 Nov 2022,T20I # 1861
PVD Chameera,3.5,-,15,3,3.91,Sri Lanka,v U.A.E.,Geelong,18 Oct 2022,T20I # 1832
WD Parnell,4.0,1,15,3,3.75,South Africa,v India,Perth,30 Oct 2022,T20I # 1853
GJ Delany,4.0,-,16,3,4.0,Ireland,v West Indies,Hobart,21 Oct 2022,T20I # 1837
LS Livingstone,3.0,-,17,3,5.66,England,v Ireland,Melbourne,26 Oct 2022,T20I # 1846
BFW de Leede,3.0,-,19,3,6.33,Netherlands,v U.A.E.,Geelong,16 Oct 2022,T20I # 1825
KP Meiyappan,4.0,-,19,3,4.75,U.A.E.,v Sri Lanka,Geelong,18 Oct 2022,T20I # 1832
Sikandar Raza,4.0,-,19,3,4.75,Zimbabwe,v West Indies,Hobart,19 Oct 2022,T20I # 1834
Taskin Ahmed,4.0,1,19,3,4.75,Bangladesh,v Zimbabwe,Brisbane,30 Oct 2022,T20I # 1851
T Shamsi,4.0,-,20,3,5.0,South Africa,v Bangladesh,Sydney,27 Oct 2022,T20I # 1847
Naveen-ul-Haq,4.0,-,21,3,5.25,Afghanistan,v Australia,Adelaide,04 Nov 2022,T20I # 1864
Shadab Khan,4.0,-,22,3,5.5,Pakistan,v Netherlands,Perth,30 Oct 2022,T20I # 1852
LH Ferguson,4.0,-,22,3,5.5,New Zealand,v Ireland,Adelaide,04 Nov 2022,T20I # 1862
JB Little,4.0,-,22,3,5.5,Ireland,v New Zealand,Adelaide,04 Nov 2022,T20I # 1862
R Ashwin,4.0,-,22,3,5.5,India,v Zimbabwe,Melbourne,06 Nov 2022,T20I # 1873
B Muzarabani,4.0,-,23,3,5.75,Zimbabwe,v Ireland,Hobart,17 Oct 2022,T20I # 1828
Shadab Khan,4.0,-,23,3,5.75,Pakistan,v Zimbabwe,Perth,27 Oct 2022,T20I # 1849
Junaid Siddique,4.0,-,24,3,6.0,U.A.E.,v Netherlands,Geelong,16 Oct 2022,T20I # 1825
JB Little,4.0,-,24,3,6.0,Ireland,v Zimbabwe,Hobart,17 Oct 2022,T20I # 1828
Sikandar Raza,4.0,-,25,3,6.25,Zimbabwe,v Pakistan,Perth,27 Oct 2022,T20I # 1849
